"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","403","201403","75.02","4","3"
"MO_RF_MN004","403","201404","71.7","4","3"
"MO_RF_MN004","403","201405","73.24","4","3"
"MO_RF_MN004","403","201406","70.29","4","3"
"MO_RF_MN004","403","201407","70.75","4","3"
"MO_RF_MN004","403","201408","72.89","4","3"
"MO_RF_MN004","403","201409","80.46","4","3"
"MO_RF_MN004","403","201410","87.55","4","3"
"MO_RF_MN004","403","201411","89.35","4","3"
"MO_RF_MN004","403","201412","87.94","4","3"
"MO_RF_MN004","403","201501","86.88","4","3"
"MO_RF_MN004","403","201502","82.21","4","3"
"MO_RF_MN004","403","201503","73.85","4","3"
"MO_RF_MN004","403","201504","67.32","4","3"
"MO_RF_MN004","403","201505","66.64","4","3"
"MO_RF_MN004","403","201506","66.17","4","3"
"MO_RF_MN004","403","201507","67.12","4","3"
"MO_RF_MN004","403","201508","67.19","4","3"
"MO_RF_MN004","403","201509","80.79","4","3"
"MO_RF_MN004","403","201510","85.64","4","3"
"MO_RF_MN004","403","201511","86.54","4","3"
"MO_RF_MN004","403","201512","84.28","4","3"
"MO_RF_MN004","403","201601","87.68","4","3"
"MO_RF_MN004","403","201602","82.21","4","3"
"MO_RF_MN004","403","201603","80.49","4","3"
"MO_RF_MN004","403","201604","69.46","4","3"
"MO_RF_MN004","403","201605","67.05","4","3"
"MO_RF_MN004","403","201606","71.27","4","3"
"MO_RF_MN004","403","201607","71.48","4","3"
"MO_RF_MN004","403","201608","74.52","4","3"
"MO_RF_MN004","403","201609","72.38","4","3"
"MO_RF_MN004","403","201610","91.24","4","3"
"MO_RF_MN004","403","201611","88.75","4","3"
"MO_RF_MN004","403","201612","90.45","4","3"
"MO_RF_MN004","403","201701","89.22","4","3"
"MO_RF_MN004","403","201702","81.58","4","3"
"MO_RF_MN004","403","201703","75.16","4","3"
"MO_RF_MN004","403","201704","72.61","4","3"
"MO_RF_MN004","403","201705","70.35","4","3"
"MO_RF_MN004","403","201706","70.57","4","3"
"MO_RF_MN004","403","201707","75.54","4","3"
"MO_RF_MN004","403","201708","74.75","4","3"
"MO_RF_MN004","403","201709","82.19","4","3"
"MO_RF_MN004","403","201710","85.88","4","3"
"MO_RF_MN004","403","201711","89.17","4","3"
"MO_RF_MN004","403","201712","87.06","4","3"
"MO_RF_MN004","403","201801","85.66","4","3"
"MO_RF_MN004","403","201802","74.79","4","3"
"MO_RF_MN004","403","201803","75.7","4","3"
"MO_RF_MN004","403","201804","68.79","4","3"
"MO_RF_MN004","403","201805","60.38","4","3"
